GlobalRank,TldRank,Domain,TLD,RefSubNets,RefIPs,IDN_Domain,IDN_TLD,PrevGlobalRank,PrevTldRank,PrevRefSubNets,PrevRefIPs
1,1,google.com,com,387374,2552856,google.com,com,1,1,387559,2550473
2,2,facebook.com,com,378257,2694173,facebook.com,com,2,2,378608,2692361
3,3,youtube.com,com,345964,2189788,youtube.com,com,3,3,346351,2188508
4,4,twitter.com,com,339148,2282959,twitter.com,com,4,4,339544,2281323
5,5,adobe.com,com,256145,1003710,adobe.com,com,5,5,256399,1003540
6,6,microsoft.com,com,254934,831855,microsoft.com,com,6,6,254908,831045
7,1,wikipedia.org,org,250242,1183422,wikipedia.org,org,7,1,250411,1182329
8,7,plus.google.com,com,223869,1177330,plus.google.com,com,8,7,223915,1175999
9,8,linkedin.com,com,222875,1023608,linkedin.com,com,9,8,222977,1022770
10,9,apple.com,com,220604,872967,apple.com,com,10,9,220946,872753
11,10,maps.google.com,com,214953,892550,maps.google.com,com,11,10,215186,892125
12,11,blogspot.com,com,210012,921351,blogspot.com,com,12,11,210248,921209
13,2,en.wikipedia.org,org,207412,858399,en.wikipedia.org,org,13,2,207525,857683
14,3,wordpress.org,org,206332,1069183,wordpress.org,org,14,3,206087,1066611
15,12,yahoo.com,com,201994,750266,yahoo.com,com,15,12,202305,749881
16,13,wordpress.com,com,196044,841280,wordpress.com,com,16,13,196196,840955
17,14,godaddy.com,com,188551,784374,godaddy.com,com,17,14,188630,785748
18,15,vimeo.com,com,184638,821492,vimeo.com,com,18,15,184776,820651
19,16,itunes.apple.com,com,177670,617753,itunes.apple.com,com,19,16,177910,617740
20,17,verizon.com,com,176234,595709,verizon.com,com,22,18,171464,569991
22,18,pinterest.com,com,172031,799352,pinterest.com,com,21,17,172187,798451
23,19,amazon.com,com,164010,621088,amazon.com,com,23,19,164192,620613
24,20,flickr.com,com,161955,602812,flickr.com,com,24,20,162168,603038
25,4,w3.org,org,159274,481182,w3.org,org,25,4,159209,480695
26,21,tumblr.com,com,158116,622080,tumblr.com,com,26,21,158289,621587
27,22,instagram.com,com,155559,632262,instagram.com,com,27,22,155683,631415
29,1,bit.ly,ly,153647,526936,bit.ly,ly,29,1,153766,526885
30,1,sourceforge.net,net,146904,419838,sourceforge.net,net,30,1,146888,419415
31,23,docs.google.com,com,142643,452055,docs.google.com,com,31,23,142592,451567
32,24,virginmedia.com,com,131612,406977,virginmedia.com,com,32,24,131494,405905
34,25,nytimes.com,com,126599,382638,nytimes.com,com,34,25,126827,382992
35,1,bbc.co.uk,uk,126118,387552,bbc.co.uk,uk,35,1,126360,387415
36,6,mozilla.org,org,119783,332970,mozilla.org,org,36,6,119901,332706
38,27,cnn.com,com,118227,327863,cnn.com,com,38,27,118449,328139
39,28,msn.com,com,117651,315176,msn.com,com,39,28,117899,315436
40,29,weebly.com,com,116619,344679,weebly.com,com,40,29,116591,344671
41,30,myspace.com,com,115935,373336,myspace.com,com,41,30,115969,373612
42,7,apache.org,org,115456,267995,apache.org,org,42,7,115379,267537
43,31,tinyurl.com,com,112982,322015,tinyurl.com,com,43,31,113089,322069
47,34,reddit.com,com,109022,354489,reddit.com,com,47,34,109078,354314
48,35,github.com,com,108337,311617,github.com,com,48,35,108320,311099
49,2,php.net,net,107716,271554,php.net,net,49,2,107587,270495
50,36,ebay.com,com,105724,310533,ebay.com,com,50,36,105814,310629
51,1,nih.gov,gov,105413,262360,nih.gov,gov,51,1,105421,262254
52,37,soundcloud.com,com,103983,342345,soundcloud.com,com,52,37,103976,341993
55,39,imdb.com,com,102450,288043,imdb.com,com,55,39,102585,288254
61,44,dropbox.com,com,99344,266900,dropbox.com,com,61,44,99469,266805
63,3,slideshare.net,net,98609,252943,slideshare.net,net,63,3,98508,252817
64,46,live.com,com,97677,238273,live.com,com,64,46,97611,238223
65,47,forbes.com,com,97236,252642,forbes.com,com,65,47,97336,252906
66,8,gnu.org,org,97113,236145,gnu.org,org,66,8,96993,235568
67,9,creativecommons.org,org,96654,255489,creativecommons.org,org,67,9,96765,255398
68,48,about.com,com,96285,248793,about.com,com,68,48,96479,248932
71,51,paypal.com,com,95478,279888,paypal.com,com,71,51,95509,279584
75,11,archive.org,org,92231,231923,archive.org,org,75,11,92364,232090
76,54,huffingtonpost.com,com,92019,254998,huffingtonpost.com,com,76,54,92190,255070
77,55,webs.com,com,91566,237044,webs.com,com,77,55,91684,237195
78,56,bing.com,com,90840,227024,bing.com,com,78,56,90910,226893
82,1,mit.edu,edu,89171,196433,mit.edu,edu,82,1,89222,196439
83,58,ibm.com,com,88887,174840,ibm.com,com,83,58,88854,174765
84,59,washingtonpost.com,com,88695,221371,washingtonpost.com,com,84,59,88836,221511
85,60,aol.com,com,88566,205084,aol.com,com,85,60,88655,205009
88,2,stanford.edu,edu,87907,187375,stanford.edu,edu,88,2,87886,187210
89,62,amazonaws.com,com,87744,215623,amazonaws.com,com,89,62,87784,215598
91,64,geocities.com,com,87094,200788,geocities.com,com,91,64,87213,200965
92,65,blogger.com,com,86472,230406,blogger.com,com,92,65,86626,230525
93,66,cnet.com,com,86123,197328,cnet.com,com,94,67,86177,197167
94,67,dailymotion.com,com,86068,260030,dailymotion.com,com,93,66,86215,259993
95,68,mysql.com,com,85875,185753,mysql.com,com,95,68,85717,185307
96,3,harvard.edu,edu,85599,189123,harvard.edu,edu,96,3,85672,189359
97,69,hp.com,com,85217,168776,hp.com,com,97,69,85269,168857
98,2,telegraph.co.uk,uk,84866,221682,telegraph.co.uk,uk,98,2,84986,221886
99,70,statcounter.com,com,84509,228769,statcounter.com,com,99,70,84486,228612
100,3,guardian.co.uk,uk,83580,209441,guardian.co.uk,uk,100,3,83704,209566
101,2,nasa.gov,gov,83527,180499,nasa.gov,gov,103,2,83565,180578
104,73,usatoday.com,com,83422,201629,usatoday.com,com,102,72,83617,201973
105,4,dailymail.co.uk,uk,83281,219863,dailymail.co.uk,uk,105,4,83422,220133
107,75,photobucket.com,com,82853,219858,photobucket.com,com,107,75,83006,219929
108,76,opera.com,com,82500,195600,opera.com,com,108,76,82577,195456
111,78,imgur.com,com,80879,220962,imgur.com,com,111,78,80879,220601
115,79,bloomberg.com,com,79438,180825,bloomberg.com,com,115,79,79517,180990
116,80,time.com,com,79356,186079,time.com,com,116,80,79514,186498
117,81,ted.com,com,79158,191943,ted.com,com,117,81,79219,191939
120,84,wired.com,com,77069,181576,wired.com,com,120,84,77170,181784
122,85,surveymonkey.com,com,76688,163623,surveymonkey.com,com,122,85,76823,163803
123,86,theguardian.com,com,76648,190784,theguardian.com,com,123,86,76760,190796
125,5,google.co.uk,uk,75469,216510,google.co.uk,uk,125,5,75466,216458
127,88,deviantart.com,com,74536,193520,deviantart.com,com,127,88,74672,193632
129,90,engadget.com,com,73189,181204,engadget.com,com,129,90,73228,181376
140,96,answers.com,com,70275,173953,answers.com,com,140,96,70442,174223
141,6,amazon.co.uk,uk,70233,181689,amazon.co.uk,uk,141,6,70298,181834
142,97,oracle.com,com,69841,122834,oracle.com,com,142,97,69837,122619
143,98,blog.com,com,69704,171541,blog.com,com,143,98,69701,171335
145,99,nationalgeographic.com,com,69118,146128,nationalgeographic.com,com,144,99,69200,146333
147,3,imageshack.us,us,67843,170952,imageshack.us,us,147,3,67961,170990
150,102,cbsnews.com,com,66818,154210,cbsnews.com,com,150,102,66887,154453
152,104,kickstarter.com,com,66502,161119,kickstarter.com,com,151,103,66528,161106
155,106,uk.com,com,65213,150621,uk.com,com,155,106,65298,150743
162,111,foxnews.com,com,64705,145686,foxnews.com,com,160,109,64842,145753
163,112,sun.com,com,64693,109797,sun.com,com,166,113,64686,109758
165,6,whitehouse.gov,gov,64622,130793,whitehouse.gov,gov,164,6,64696,131081
166,5,cornell.edu,edu,64596,126889,cornell.edu,edu,165,5,64686,126968
167,114,businessweek.com,com,64498,133060,businessweek.com,com,167,114,64605,133318
172,119,mozilla.com,com,63783,129134,mozilla.com,com,172,119,63798,129182
174,121,android.com,com,63349,122490,android.com,com,175,122,63301,122540
182,7,blogspot.co.uk,uk,62483,156155,blogspot.co.uk,uk,181,7,62540,156178
186,8,independent.co.uk,uk,62175,138352,independent.co.uk,uk,184,8,62321,138547
187,6,washington.edu,edu,62113,112215,washington.edu,edu,187,6,62066,112225
189,131,tripadvisor.com,com,61531,139835,tripadvisor.com,com,189,131,61584,139748
192,133,samsung.com,com,61289,121471,samsung.com,com,192,133,61248,121383
198,136,wikia.com,com,60283,135737,wikia.com,com,196,136,60426,135727
199,137,skype.com,com,59851,124891,skype.com,com,199,137,59832,124894
201,138,dell.com,com,58991,108276,dell.com,com,201,138,58955,108151
207,143,economist.com,com,58316,114169,economist.com,com,207,143,58336,114345
208,18,debian.org,org,58141,104398,debian.org,org,209,18,58066,104150
211,144,cisco.com,com,57997,96239,cisco.com,com,210,144,57973,96257
214,145,netscape.com,com,57395,99241,netscape.com,com,214,145,57410,99266
225,10,columbia.edu,edu,55998,102929,columbia.edu,edu,225,10,55979,102963
226,152,boston.com,com,55975,118707,boston.com,com,226,152,55956,118581
238,157,buzzfeed.com,com,54353,120114,buzzfeed.com,com,238,157,54386,120119
247,1,yahoo.co.jp,jp,53508,137709,yahoo.co.jp,jp,247,1,53475,137519
263,170,weather.com,com,51731,99393,weather.com,com,263,170,51746,99560
279,9,cam.ac.uk,uk,50340,85880,cam.ac.uk,uk,281,9,50273,85970
281,181,howstuffworks.com,com,50281,96851,howstuffworks.com,com,279,180,50377,97163
294,187,ehow.com,com,49402,101454,ehow.com,com,293,187,49500,101596
295,188,mac.com,com,49352,96581,mac.com,com,294,188,49492,96754
297,190,squidoo.com,com,49191,105329,squidoo.com,com,296,189,49302,105489
301,10,ox.ac.uk,uk,49072,84266,ox.ac.uk,uk,302,10,49068,84215
305,194,livestream.com,com,48716,97091,livestream.com,com,305,194,48880,97333
306,19,academia.edu,edu,48683,97794,academia.edu,edu,306,19,48622,97598
322,203,news.google.com,com,47152,91430,news.google.com,com,321,202,47185,91587
330,15,house.gov,gov,46768,90932,house.gov,gov,329,14,46848,91190
333,11,www.gov.uk,uk,46581,100268,www.gov.uk,uk,333,11,46543,100146
334,210,spotify.com,com,46375,102598,spotify.com,com,334,210,46468,102840
336,26,worldbank.org,org,46331,77557,worldbank.org,org,338,26,46285,77552
337,211,wikihow.com,com,46318,91099,wikihow.com,com,337,212,46286,91273
339,213,ubuntu.com,com,46231,82696,ubuntu.com,com,339,213,46158,82642
344,215,pcworld.com,com,45658,82089,pcworld.com,com,344,215,45578,82113
352,27,sciencemag.org,org,45208,77062,sciencemag.org,org,354,27,45118,77058
361,223,walmart.com,com,44680,90813,walmart.com,com,361,223,44683,90917
368,228,newyorker.com,com,44299,88682,newyorker.com,com,368,228,44398,88928
380,233,gmail.com,com,43828,79318,gmail.com,com,384,236,43747,79252
383,236,wikispaces.com,com,43770,79420,wikispaces.com,com,382,235,43828,79574
387,238,nbcnews.com,com,43610,86099,nbcnews.com,com,385,237,43708,86302
389,12,ebay.co.uk,uk,43513,87475,ebay.co.uk,uk,389,12,43515,87470
393,13,timesonline.co.uk,uk,43288,79962,timesonline.co.uk,uk,392,13,43313,80012
396,12,comcast.net,net,43098,78645,comcast.net,net,396,12,43137,78734
409,245,timeanddate.com,com,42462,75930,timeanddate.com,com,409,245,42494,75958
413,248,blackberry.com,com,42377,75592,blackberry.com,com,413,248,42399,75744
427,255,newscientist.com,com,41709,74703,newscientist.com,com,425,255,41783,74754
431,257,stackoverflow.com,com,41660,77009,stackoverflow.com,com,434,258,41598,76868
432,14,mirror.co.uk,uk,41657,80144,mirror.co.uk,uk,424,14,41794,80379
443,263,nokia.com,com,41307,71104,nokia.com,com,443,263,41396,71217
444,264,ikea.com,com,41241,78026,ikea.com,com,445,264,41246,78055
445,265,thefreedictionary.com,com,41211,78792,thefreedictionary.com,com,447,265,41175,78851
448,266,googlepages.com,com,41111,71821,googlepages.com,com,449,267,41137,71915
453,35,openoffice.org,org,40892,71486,openoffice.org,org,453,35,40945,71547
455,270,shutterfly.com,com,40876,80458,shutterfly.com,com,457,272,40810,80393
458,273,xbox.com,com,40745,77262,xbox.com,com,458,273,40787,77312
462,275,lifehacker.com,com,40426,78572,lifehacker.com,com,463,276,40470,78440
463,276,sky.com,com,40407,77499,sky.com,com,462,275,40490,77565
464,277,w3schools.com,com,40391,71123,w3schools.com,com,464,277,40462,71166
465,278,blogs.com,com,40313,76504,blogs.com,com,466,279,40289,76466
472,38,python.org,org,39892,67691,python.org,org,473,38,39911,67772
476,21,usa.gov,gov,39709,73421,usa.gov,gov,474,21,39826,73459
479,284,bitly.com,com,39546,73212,bitly.com,com,480,285,39548,73196
485,287,urbandictionary.com,com,39301,77640,urbandictionary.com,com,486,288,39283,77382
489,40,craigslist.org,org,39060,75461,craigslist.org,org,490,40,39103,75647
491,41,opensource.org,org,38973,69103,opensource.org,org,492,41,38967,69037
493,290,sony.com,com,38848,65218,sony.com,com,496,292,38787,65017
495,2,vine.co,co,38743,74955,vine.co,co,493,2,38926,75192
497,293,fifa.com,com,38634,67623,fifa.com,com,497,293,38714,67701
536,317,warnerbros.com,com,37161,64250,warnerbros.com,com,541,319,37168,64374
573,336,steampowered.com,com,36145,68666,steampowered.com,com,571,335,36212,68735
636,370,playstation.com,com,34410,60846,playstation.com,com,634,369,34427,60884
755,429,xkcd.com,com,31471,56011,xkcd.com,com,753,428,31543,56061
774,25,speedtest.net,net,31187,50074,speedtest.net,net,768,25,31282,50130
823,465,canada.com,com,30199,52747,canada.com,com,819,463,30258,52706
953,539,hulu.com,com,27994,52521,hulu.com,com,952,538,28039,52358
970,548,hbo.com,com,27780,47559,hbo.com,com,962,544,27848,47641
995,559,mixcloud.com,com,27474,52806,mixcloud.com,com,989,556,27524,52739
1040,24,huffingtonpost.co.uk,uk,26905,45900,huffingtonpost.co.uk,uk,1032,24,26971,46040
